animal,migrant,mixed-migrant,disperser,resident,nomad,bestmodel
140040,3463.29975887814,3461.29048612497,4142.92026654954,4225.37031725518,4321.20740564099,2
140050,3427.6447298414,3437.61280416237,3410.16144739523,3348.46083484513,3426.68124238135,4
140060,3655.0798005121,3604.35541504347,3655.95239725175,3659.60757827883,3753.19830425468,2
140070,3448.32203131646,NA,3487.81149980179,3498.20862563183,3532.06467746537,1
140100,2183.69054947021,2185.66386067821,2179.69054947021,2305.93306653579,2215.75041212027,3
140120,NA,NA,1083.51132709775,1293.31889332437,1193.53894328226,3
140290,3574.23762436876,3471.97766167832,3728.19529919741,3736.55383344394,3893.51539328756,2
140300,3920.41940354984,3837.9574752335,4313.35159359996,4482.38078550205,4543.01187771269,2
140320,3991.5006114222,3978.26696834654,4163.7458638402,4158.70336048628,4265.1340588146,2
140340,3183.6592991603,3191.07339246019,4066.33111706402,4182.44138193299,4295.04929818805,1
140380,2891.25795259026,2763.35078148888,2745.22673150012,2716.96462184614,2739.801365449,4
140400,3420.40591424826,3369.84391094996,3338.84290050138,3344.41037595044,3297.63225129346,5
140480,4072.1311644225,3976.11902564333,3962.27919163228,3963.11390252973,4009.55545794412,3
140560,4901.47223476851,4754.16700088097,4687.97683947257,4834.67398339396,4922.84955131931,3
140600,3350.82279011451,3316.71803655233,3317.83249971665,3222.60073889376,3357.00637936847,4
140630,3404.2179000051,3390.01334855115,3350.56732246516,3278.91069758407,3358.4871230961,4
140650,3613.03180196581,NA,NA,3681.79008035073,3700.72745852363,1
140680,3751.44484971592,3751.0844131092,4060.32485750314,4214.97429663629,4203.48791295658,2
140710,3307.975427849,3249.71013001883,3210.51381768701,3241.58629927665,3241.77520861909,3
140800,NA,NA,4534.61807782589,4697.91759248439,4611.84889767905,3
140850,4116.91228750526,4075.83922205629,4406.72904507172,4429.80238757084,4613.26839599466,2
140890,3268.97837392903,3231.14014506437,3187.0413387384,3159.94585169968,3134.36187661213,5
140910,4250.94125794514,4243.65529048724,4382.89056794952,4447.98573921482,4481.98098947412,2
140940,3591.20957808929,3570.96090059516,3644.5231631425,3629.48099356266,3703.24128956734,2
140960,3574.31653461613,3523.9876198237,3595.29651934586,3590.04949894715,3705.04717927642,2
140980,3120.58917342884,3072.63112305598,3481.92278817527,3540.43559417721,3670.68838400962,2
141000,2864.93677398135,2835.64452618226,3098.54060152964,3186.55187542811,3250.07826938761,2
141010,3984.04753892997,3974.39214583426,4316.6521619724,4416.30342268246,4532.14938670191,2
141060,3674.88008068119,3648.88174803026,3613.2567696973,3590.748085523,3595.5739910307,4
141070,3087.50254131252,3032.87787195154,2995.05823966005,2910.78475802527,2985.24835135058,4
141080,3460.91806204231,3404.57690555959,3369.10826179513,3378.7928677323,3317.62058116036,5
141100,3483.63543472463,3435.04142692723,3376.4349330777,3403.58469329479,3335.31120457748,5
141120,4073.09268412024,4058.22857218808,4475.2196626916,4557.41796544498,4599.63675346325,2
141130,3822.2752737086,3789.53586876932,3921.14049815286,3912.36364717075,4059.13471369381,2
141150,3918.22639724145,3917.36300089711,4767.74229374743,4840.42924321538,4942.02244984188,2
141160,2763.72717062432,2361.03212359978,2355.032123606,2768.82802395979,2338.9465396176,5
141180,2389.98111432482,2391.18467505166,2393.13623010263,2898.8347372725,2666.70762524881,1
141260,3686.80238995079,3874.61628918554,4035.49271928245,4126.76499074219,4189.32033090693,1
141340,2609.59845008966,2611.59845008966,2605.59845008966,2735.00883390086,2612.39248781533,3
141470,2440.91688514161,2436.25262470918,2483.84967001218,2680.0216926558,2588.7124798224,2
141490,3316.86253207539,3290.69487736887,3280.95504630202,3184.13973781659,3289.63822409557,4
141520,2459.43655862637,2442.37655326258,2694.21784014734,2878.79398944469,2903.17235655204,2
141560,3818.08158901159,3773.24162324471,NA,4187.73446980603,4288.93639135436,2
141610,2428.44196986285,2430.09660159645,2701.4777605606,2742.63531578674,2769.6833220049,1
150360,5269.7674427668,4852.31132691898,4776.92941106077,4992.76576467286,4527.49807032024,5
150920,3659.24773224104,3620.5858461552,3799.34595191354,3737.28201604657,3942.50526226073,2
151110,2588.69043235182,2590.65803658567,2588.42293877586,2487.30760109449,2604.46866933235,4
151170,2015.17243385091,2026.72780156407,2011.17243385091,2009.22352048722,1985.87746351484,5
151200,3917.17986650481,3700.24821098055,4232.46425965052,4330.37931980699,4427.82506289115,2
151220,2554.27623157305,2555.59519626476,2819.10653555423,3079.49928371402,2980.79917570235,1
151300,3153.29417240025,3153.68515528455,3147.88763216245,3117.73925239301,3121.51701158547,4
151380,3126.88776550971,3128.88776550971,3122.88776550971,3161.92158541724,3075.32704669473,5
151500,NA,NA,1258.72909800921,1664.94519229626,1622.04243751954,3
151570,3783.44680009555,3782.19278617748,4257.3601538401,4288.87551796699,4458.14228774707,2
151580,1976.44479180623,1978.44479180623,1972.44479180623,1918.27120682959,2027.04792312643,4
